Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
2635,0.7800600528717041,0.8491130780798446,0.5675433376485455,2.495624958685911e-09,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
2636,0.6018843650817871,0.0211571483891594,0.7122416259485946,0.00402666746545855,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
2637,0.26720336079597473,3.57847952551557e-33,0.2133271397163616,1.9189114595778828e-30,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2638,0.0,0.0,0.7421150785255067,0.032648802821259065,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
2639,0.8996662497520447,0.9991626449180072,0.977644008937691,0.999999473454737,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2640,0.2592642903327942,1.9288525706821084e-37,0.7962657204897767,0.1609686642565579,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2641,0.31643247604370117,1.3371819057866799e-17,0.8681815755301572,0.9055982749257714,OFFLOADED,1.0,No,1.0,0.0,0.0,False,True
2642,0.2534657120704651,1.0267808214426003e-41,0.47010719603163614,7.919626607483477e-16,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
2643,0.9043830037117004,0.999403232764251,0.8702825034461787,0.9218530924048586,ACCEPTED,1.0,No,1.0,1.0,1.0,True,True
2644,0.2764163911342621,1.9079735521436497e-29,0.3591476817384485,6.454634663298998e-23,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
2645,0.8869292736053467,0.9982693000059214,1.0,1.0,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2646,0.256242036819458,1.3607149174575471e-39,0.2522537385142677,4.589991072200662e-29,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2647,0.32698914408683777,7.366270446731952e-16,0.6440137559002935,8.13133931873852e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2648,0.285498708486557,3.9104193941421834e-26,0.5135273404898761,4.3725166219385253e-13,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2649,0.2568681538105011,4.422655089633023e-39,0.23565529741216465,8.963119166906608e-30,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2650,0.28702080249786377,1.3308578134036426e-25,0.6697311865543105,0.0001032739302244606,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
2651,0.25718313455581665,6.639890335219118e-39,0.7379835652396275,0.027613243613499486,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
2652,0.25683435797691345,3.4952160863736774e-39,0.6206939059127908,4.581448913547345e-07,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2653,0.28023985028266907,5.631120111565864e-28,0.5030951443131715,8.825688567707657e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2654,0.2514610290527344,7.35498837238317e-43,0.3727382559008095,3.584525610034346e-22,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2655,0.38656413555145264,4.0223344853599493e-10,0.48765586459047255,7.188712530372595e-15,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2656,0.38520047068595886,2.93752482309943e-10,0.636708675606755,2.7959553901324643e-06,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
